match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
8,1,RCB,KXIP,6,1,0,KXIP
8,1,RCB,KXIP,7,8,0,KXIP
8,1,RCB,KXIP,8,3,0,KXIP
8,1,RCB,KXIP,9,13,0,KXIP
8,1,RCB,KXIP,10,6,0,KXIP
8,1,RCB,KXIP,11,6,0,KXIP
8,1,RCB,KXIP,12,6,0,KXIP
8,1,RCB,KXIP,13,3,0,KXIP
8,1,RCB,KXIP,14,2,1,KXIP
8,1,RCB,KXIP,15,1,0,KXIP
8,1,RCB,KXIP,16,9,0,KXIP
8,1,RCB,KXIP,17,16,0,KXIP
8,1,RCB,KXIP,18,19,0,KXIP
8,1,RCB,KXIP,19,19,0,KXIP
8,1,RCB,KXIP,20,14,0,KXIP
8,2,KXIP,RCB,1,6,0,KXIP
8,2,KXIP,RCB,2,8,0,KXIP
8,2,KXIP,RCB,3,12,0,KXIP
8,2,KXIP,RCB,4,17,0,KXIP
8,2,KXIP,RCB,5,7,0,KXIP
8,2,KXIP,RCB,6,12,1,KXIP
8,2,KXIP,RCB,7,5,0,KXIP
8,2,KXIP,RCB,8,11,0,KXIP
8,2,KXIP,RCB,9,7,1,KXIP
8,2,KXIP,RCB,10,12,0,KXIP
8,2,KXIP,RCB,11,10,0,KXIP
8,2,KXIP,RCB,12,12,0,KXIP
8,2,KXIP,RCB,13,8,0,KXIP
8,2,KXIP,RCB,14,16,0,KXIP
8,2,KXIP,RCB,15,7,0,KXIP
8,2,,,16,0,0,KXIP
8,2,,,17,0,0,KXIP
8,2,,,18,0,0,KXIP
8,2,,,19,0,0,KXIP
8,2,,,20,0,0,KXIP
9,1,DD,PW,1,2,0,DD
9,1,DD,PW,2,11,1,DD
9,1,DD,PW,3,16,0,DD
9,1,DD,PW,4,10,0,DD
9,1,DD,PW,5,8,0,DD
9,1,DD,PW,6,15,0,DD
9,1,DD,PW,7,4,0,DD
9,1,DD,PW,8,5,0,DD
9,1,DD,PW,9,5,1,DD
9,1,DD,PW,10,5,0,DD
9,1,DD,PW,11,7,0,DD
9,1,DD,PW,12,16,0,DD
9,1,DD,PW,13,4,0,DD
9,1,DD,PW,14,4,0,DD
9,1,DD,PW,15,11,0,DD
